gale_link,month,article,x2_var1,printedDate,st_caps,titleAbbreviation,st_nums,title,filepath,page,x1_var1,day,issueNumber,year,ltcount,block_number
http://link.galegroup.com/apps/doc/Z2001499060/BBCN,02,012,251326.0,SATURDAY FEBRUARY 9 1745,0.6,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/02/09/service,0008,607966.5599999999,09,853,1745,191,7
http://link.galegroup.com/apps/doc/Z2001499157/BBCN,04,004,97110.88888888888,SATURDAY APRIL 13 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/04/13/service,0004,598026.8888888888,13,862,1745,131,3
http://link.galegroup.com/apps/doc/Z2001499196/BBCN,05,008,2162.25,SATURDAY MAY 4 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/05/04/service,0008,535092.25,04,865,1745,47,2
http://link.galegroup.com/apps/doc/Z2001499257/BBCN,06,004,334081.5,SATURDAY JUNE 8 1745,0.75,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/06/08/service,0004,439356.5,08,870,1745,127,3
http://link.galegroup.com/apps/doc/Z2001499409/BBCN,08,011,86854.25,SATURDAY AUGUST 24 1745,0.75,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/08/24/service,0008,486716.25,24,881,1745,95,1
http://link.galegroup.com/apps/doc/Z2001499460/BBCN,09,002,206268.76000000004,SATURDAY SEPTEMBER 28 1745,0.4,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/09/28/service,0002,405094.24750000006,28,886,1745,1504,3
http://link.galegroup.com/apps/doc/Z2001499511/BBCN,10,005,16002.25,SATURDAY OCTOBER 26 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/10/26/service,0004,640800.25,26,890,1745,102,1
http://link.galegroup.com/apps/doc/Z2001499531/BBCN,11,012,7306.24,SATURDAY NOVEMBER 2 1745,0.6,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/11/02/service,0011,535817.36,02,891,1745,363,7
http://link.galegroup.com/apps/doc/Z2001499593/BBCN,12,008,94955.72839506173,SATURDAY DECEMBER 7 1745,0.5555555555555556,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/12/07/service,0007,486377.0617283951,07,896,1745,167,7
http://link.galegroup.com/apps/doc/Z2000726200/BBCN,08,001,56.25,FROM TUESDAY AUGUST 13 TO SATURDAY AUGUST 17 1745,0.5,B0322LONGAZET,0.0,LONDON GAZETTE,/cygdrive/w/APEX/B0322LONGAZET/1745/08/13/service,0001,458329.0,13,8458,1745,121,11
http://link.galegroup.com/apps/doc/Z2000490835/BBCN,05,007,138384.0,FROM THURSDAY MAY 8 TO SATURDAY MAY 10 1746,0.5,B0239GELOEVME,0.0,GENERAL LONDON EVENING MERCURY,/cygdrive/w/APEX/B0239GELOEVME/1746/05/08/service,0004,599076.0,08,474,1746,153,15
http://link.galegroup.com/apps/doc/Z2000490980/BBCN,07,008,11236.0,FROM TUESDAY JULY 29 TO THURSDAY JULY 31 1746,0.5,B0239GELOEVME,0.0,GENERAL LONDON EVENING MERCURY,/cygdrive/w/APEX/B0239GELOEVME/1746/07/29/service,0004,595984.0,29,509,1746,151,1
http://link.galegroup.com/apps/doc/Z2000491116/BBCN,09,004,104906.0,THURSDAY SEPTEMBER 18 1746,0.3333333333333333,B0239GELOEVME,0.0,GENERAL LONDON EVENING MERCURY,/cygdrive/w/APEX/B0239GELOEVME/1746/09/18/service,0003,567473.5555555556,18,530,1746,126,18
http://link.galegroup.com/apps/doc/Z2000413481/BBCN,01,003,333664.23765432095,THURSDAY JANUARY 3 1744-5,0.6666666666666666,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/03/service,0002,503549.4969135802,03,3162,1745,1432,7
http://link.galegroup.com/apps/doc/Z2000413495/BBCN,01,002,93038.1875,WEDNESDAY JANUARY 9 1744-5,0.25,B0235GENEADVE,0.25,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/09/service,0001,379420.25,09,1367,1745,292,2
http://link.galegroup.com/apps/doc/Z2000413499/BBCN,01,003,18670.366782006917,THURSDAY JANUARY 10 1744-5,0.5882352941176471,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/10/service,0002,386820.9480968858,10,1368,1745,1423,5
http://link.galegroup.com/apps/doc/Z2000413502/BBCN,01,003,198205.9783950617,FRIDAY JANUARY 11 1744-5,0.7222222222222222,B0235GENEADVE,0.1111111111111111,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/11/service,0002,437503.6172839507,11,1369,1745,1555,8
http://link.galegroup.com/apps/doc/Z2000413529/BBCN,01,002,99524.66666666667,TUESDAY JANUARY 22 1744-5,0.6666666666666666,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/22/service,0001,479424.22222222225,22,3178,1745,86,2
http://link.galegroup.com/apps/doc/Z2000413536/BBCN,01,003,346.48888888888894,THURSDAY JANUARY 24 1744-5,0.6,B0235GENEADVE,0.06666666666666667,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/24/service,0002,392041.4488888889,24,3180,1745,1473,5
http://link.galegroup.com/apps/doc/Z2000413562/BBCN,01,003,20021.50138504155,THURSDAY JANUARY 31 1744-5,0.5263157894736842,B0235GENEADVE,0.15789473684210525,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/31/service,0002,358754.9307479224,31,3186,1745,997,31
http://link.galegroup.com/apps/doc/Z2000413575/BBCN,02,005,44.666666666666664,MONDAY FEBRUARY 4 1744-5,0.6666666666666666,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/02/04/service,0004,517612.6666666667,04,3189,1745,407,5
